datetime,arithmetic_mean,aqi,first_max_value,first_max_hour,county_code,state_code,parameter_code,parameter,sample_duration_code,sample_duration,pollutant_standard,units_of_measure
2023-03-13,6.0,5.666666666666667,6.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-16,16.666666666666668,15.333333333333334,16.666666666666668,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-19,8.333333333333334,7.666666666666667,8.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-22,6.333333333333333,6.0,6.333333333333333,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-25,13.0,12.0,13.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-28,11.666666666666666,10.666666666666666,11.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-31,18.333333333333332,17.0,18.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-03,9.333333333333334,8.666666666666666,9.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-06,21.333333333333332,19.666666666666668,21.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-09,16.666666666666668,15.333333333333334,16.666666666666668,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-12,9.0,8.333333333333334,9.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-15,16.333333333333332,15.0,16.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-18,11.666666666666666,10.666666666666666,11.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-21,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-24,10.0,9.333333333333334,10.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-27,15.666666666666666,14.666666666666666,15.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-04-30,11.333333333333334,10.666666666666666,11.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-06,7.333333333333333,6.666666666666667,7.333333333333333,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-09,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-12,16.333333333333332,15.0,16.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-05-15,12.333333333333334,11.333333333333334,12.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
